id,instrumentid,footprint
102,47,"POLYGON ((0.06779 -2.00846, 0.06751 -2.86369, 0.9216 -2.86369, 0.92133 -2.00846, 0.06779 -2.00846))"
103,47,"POLYGON ((0.06551999999999999 -2.87489, 0.06515 -3.73013, 0.91998 -3.73013, 0.91961 -2.87489, 0.06551999999999999 -2.87489))"
104,47,"POLYGON ((0.93168 -2.87669, 0.93131 -3.73192, 1.78614 -3.73192, 1.78577 -2.87669, 0.93168 -2.87669))"
105,47,"POLYGON ((-0.92015 -2.00557, -0.92042 -2.86081, -0.06634 -2.86081, -0.06661 -2.00557, -0.92015 -2.00557))"
106,47,"POLYGON ((-1.78568 -2.00173, -1.78595 -2.85697, -0.93187 -2.85697, -0.93215 -2.00173, -1.78568 -2.00173))"
107,47,"POLYGON ((-1.79018 -2.86812, -1.79055 -3.72336, -0.93573 -3.72336, -0.93609 -2.86812, -1.79018 -2.86812))"
108,47,"POLYGON ((-0.9241200000000001 -2.87204, -0.92448 -3.72727, -0.06966 -3.72727, -0.07003 -2.87204, -0.9241200000000001 -2.87204))"
109,47,"POLYGON ((-2.78053 -1.99881, -2.7808 -2.85405, -1.92672 -2.85405, -1.92699 -1.99881, -2.78053 -1.99881))"
110,47,"POLYGON ((-3.64594 -1.99591, -3.64621 -2.85114, -2.79214 -2.85114, -2.79241 -1.99591, -3.64594 -1.99591))"
111,47,"POLYGON ((-3.64963 -2.86209, -3.64999 -3.71733, -2.79518 -3.71733, -2.79554 -2.86209, -3.64963 -2.86209))"
112,47,"POLYGON ((-2.78361 -2.86509, -2.78398 -3.72032, -1.92916 -3.72032, -1.92953 -2.86509, -2.78361 -2.86509))"
113,47,"POLYGON ((2.79713 -0.09755999999999999, 2.79707 -0.9528, 3.65021 -0.9528, 3.65015 -0.09755999999999999, 2.79713 -0.09755999999999999))"
114,47,"POLYGON ((1.93221 -0.09551, 1.93215 -0.95075, 2.78528 -0.95075, 2.78522 -0.09551, 1.93221 -0.09551))"
115,47,"POLYGON ((1.93011 -0.96191, 1.92995 -1.81715, 2.7834 -1.81715, 2.78325 -0.96191, 1.93011 -0.96191))"
116,47,"POLYGON ((2.79528 -0.9639, 2.79512 -1.81914, 3.64857 -1.81914, 3.64841 -0.9639, 2.79528 -0.9639))"
117,47,"POLYGON ((0.93693 -0.09664, 0.93687 -0.9518799999999999, 1.79 -0.9518799999999999, 1.78995 -0.09664, 0.93693 -0.09664))"
118,47,"POLYGON ((0.07204000000000001 -0.0948, 0.07199 -0.95004, 0.9251200000000001 -0.95004, 0.92506 -0.0948, 0.07204000000000001 -0.0948))"
119,47,"POLYGON ((0.07006999999999999 -0.96127, 0.06991 -1.81651, 0.92336 -1.81651, 0.9232 -0.96127, 0.07006999999999999 -0.96127))"
120,47,"POLYGON ((0.93516 -0.96309, 0.9350000000000001 -1.81832, 1.78845 -1.81832, 1.7883 -0.96309, 0.93516 -0.96309))"
121,47,"POLYGON ((-0.91503 -0.08884, -0.91509 -0.94408, -0.06196 -0.94408, -0.06201 -0.08884, -0.91503 -0.08884))"
122,47,"POLYGON ((-1.77997 -0.08744, -1.78003 -0.94268, -0.92689 -0.94268, -0.9269500000000001 -0.08744, -1.77997 -0.08744))"
123,47,"POLYGON ((-1.78154 -0.95386, -1.78169 -1.8091, -0.92825 -1.8091, -0.9284 -0.95386, -1.78154 -0.95386))"
124,47,"POLYGON ((-0.91649 -0.9553199999999999, -0.91664 -1.81056, -0.06320000000000001 -1.81056, -0.06336 -0.9553199999999999, -0.91649 -0.9553199999999999))"
125,47,"POLYGON ((-2.77631 -0.08434, -2.77637 -0.93958, -1.92324 -0.93958, -1.92329 -0.08434, -2.77631 -0.08434))"
126,47,"POLYGON ((-3.64111 -0.08357000000000001, -3.64116 -0.93881, -2.78803 -0.93881, -2.78809 -0.08357000000000001, -3.64111 -0.08357000000000001))"
127,47,"POLYGON ((-3.6421 -0.94974, -3.64225 -1.80497, -2.78881 -1.80497, -2.78896 -0.94974, -3.6421 -0.94974))"
128,47,"POLYGON ((-2.77714 -0.9506599999999999, -2.7773 -1.8059, -1.92386 -1.8059, -1.92401 -0.9506599999999999, -2.77714 -0.9506599999999999))"
129,47,"POLYGON ((2.80143 1.81408, 2.80159 0.95885, 3.65472 0.95885, 3.65488 1.81408, 2.80143 1.81408))"
130,47,"POLYGON ((1.9364 1.81616, 1.93655 0.96092, 2.78969 0.96092, 2.78984 1.81616, 1.9364 1.81616))"
131,47,"POLYGON ((1.93445 0.94981, 1.93451 0.09457, 2.78753 0.09457, 2.78759 0.94981, 1.93445 0.94981))"
132,47,"POLYGON ((2.79936 0.94777, 2.79942 0.09253, 3.65244 0.09253, 3.65249 0.94777, 2.79936 0.94777))"
133,47,"POLYGON ((0.9413899999999999 1.82119, 0.94154 0.96595, 1.79468 0.96595, 1.79484 1.82119, 0.9413899999999999 1.82119))"
134,47,"POLYGON ((0.07625999999999999 1.82311, 0.07641000000000001 0.96787, 0.92955 0.96787, 0.92971 1.82311, 0.07625999999999999 1.82311))"
135,47,"POLYGON ((0.07459 0.9565900000000001, 0.07464999999999999 0.10135, 0.92766 0.10135, 0.92772 0.9565900000000001, 0.07459 0.9565900000000001))"
136,47,"POLYGON ((0.93951 0.9547099999999999, 0.93957 0.09948, 1.79259 0.09948, 1.79265 0.9547099999999999, 0.93951 0.9547099999999999))"
137,47,"POLYGON ((-0.90892 1.82654, -0.90877 0.9713000000000001, -0.05563 0.9713000000000001, -0.05547 1.82654, -0.90892 1.82654))"
138,47,"POLYGON ((-1.77404 1.82799, -1.77389 0.97275, -0.92075 0.97275, -0.92059 1.82799, -1.77404 1.82799))"
141,47,"POLYGON ((-2.76786 1.83019, -2.7677 0.97495, -1.91456 0.97495, -1.9144 1.83019, -2.76786 1.83019))"
142,47,"POLYGON ((-3.63294 1.83033, -3.63279 0.97509, -2.77965 0.97509, -2.77949 1.83033, -3.63294 1.83033))"
143,47,"POLYGON ((-3.63272 0.9640300000000001, -3.63266 0.10879, -2.77964 0.10879, -2.77958 0.9640300000000001, -3.63272 0.9640300000000001))"
144,47,"POLYGON ((-2.76785 0.9638099999999999, -2.7678 0.10857, -1.91478 0.10857, -1.91472 0.9638099999999999, -2.76785 0.9638099999999999))"
145,47,"POLYGON ((2.80906 3.72812, 2.80942 2.87288, 3.66351 2.87288, 3.66388 3.72812, 2.80906 3.72812))"
146,47,"POLYGON ((1.94298 3.73143, 1.94334 2.8762, 2.79744 2.8762, 2.7978 3.73143, 1.94298 3.73143))"
147,47,"POLYGON ((1.94017 2.86506, 1.94044 2.00982, 2.79398 2.00982, 2.79425 2.86506, 1.94017 2.86506))"
148,47,"POLYGON ((2.80568 2.86189, 2.80595 2.00665, 3.65949 2.00665, 3.65976 2.86189, 2.80568 2.86189))"
149,47,"POLYGON ((0.95001 3.7322, 0.95038 2.87696, 1.80447 2.87696, 1.80484 3.7322, 0.95001 3.7322))"
150,47,"POLYGON ((0.08384 3.73671, 0.0842 2.88147, 0.9383 2.88147, 0.93867 3.73671, 0.08384 3.73671))"
151,47,"POLYGON ((0.07994999999999999 2.87022, 0.08022 2.01498, 0.93377 2.01498, 0.93404 2.87022, 0.07994999999999999 2.87022))"
152,47,"POLYGON ((0.9455 2.86577, 0.94577 2.01054, 1.79932 2.01054, 1.79959 2.86577, 0.9455 2.86577))"
153,47,"POLYGON ((-0.90598 3.73914, -0.90561 2.8839, -0.05151 2.8839, -0.05114 3.73914, -0.90598 3.73914))"
154,47,"POLYGON ((-1.77213 3.73862, -1.77177 2.88338, -0.91767 2.88338, -0.9173 3.73862, -1.77213 3.73862))"
155,47,"POLYGON ((-1.7709 2.87218, -1.77063 2.01695, -0.91708 2.01695, -0.91681 2.87218, -1.7709 2.87218))"
156,47,"POLYGON ((-0.90528 2.87265, -0.90501 2.01741, -0.05147 2.01741, -0.05119 2.87265, -0.90528 2.87265))"
157,47,"POLYGON ((-2.76581 3.74155, -2.76544 2.88631, -1.91134 2.88631, -1.91097 3.74155, -2.76581 3.74155))"
158,47,"POLYGON ((-3.6319 3.74213, -3.63153 2.8869, -2.77743 2.8869, -2.77706 3.74213, -3.6319 3.74213))"
159,47,"POLYGON ((-3.63165 2.87585, -3.63138 2.02061, -2.77783 2.02061, -2.77756 2.87585, -3.63165 2.87585))"
160,47,"POLYGON ((-2.76613 2.87522, -2.76586 2.01999, -1.91231 2.01999, -1.91204 2.87522, -2.76613 2.87522))"
161,48,"POLYGON ((-0.3018 0.4527, 0.3018 0.4527, 0.3018 -0.4527, -0.3018 -0.4527, -0.3018 0.4527))"
